banda ancha fija,dial up,total_conexion,accesos por cada 100 hogares,accesos por cada 100 hab,adsl,cablemodem,fibra óptica,wireless,otros Mbps,hasta 512 kbps,+ 512 kbps - 1 mbps,+ 1 mbps - 6 mbps,+ 6 mbps - 10 mbps,+ 10 mbps - 20 mbps,+ 20 mbps - 30 mbps,+ 30 mbps,otros,total suma Mbps
12.69112.691,728.0,13.05513.055,"9,72 9,72 ","2,78 2,78 ",11.306 11.306 ,925 925 ,354 354 ,44.0,896.0,14.0,0.0,13.04513.045,0.0,0.0,2.0,22,0.0,13.05513.055
26.71026.710,918.0,27.16927.169,"29,38 29,38 ","8,74 8,74 ",18.956 18.956 ,448 448 ,381 381 ,8.236,6.532,306.0,3.274,25.37425.374,4.0,0.0,0.0,00,0.0,27.16627.166
511.753511.753,1210.0,512.358512.358,"48,39 48,39 ","15,22 15,22 ",324.101 324.101 ,178.495 178.495 ,3.085 3.085 ,12.082,1272.0,17.03,230.394,353.559353.559,47.878,20.116,68.0,792792,0.0,512.094512.094
38.00238.002,18.0,38.01138.011,"16,70 16,70 ","4,14 4,14 ",32.820 32.820 ,4.231 4.231 ,19 19 ,1814.0,68.0,2.462,19.828,23.84223.842,5.734,284.0,0.0,00,0.0,37.99637.996
27.44327.443,1532.0,28.20928.209,"64,36 64,36 ","19,09 19,09 ",21.618 21.618 ,3.008 3.008 ,648 648 ,2.0,5.868,24.0,668.0,31.19831.198,4.0,0.0,0.0,00,0.0,31.54631.546
131.981131.981,176.0,132.069132.069,"33,94 33,94 ","8,41 8,41 ",131.740 131.740 ,97 97 ,121 121 ,26.0,196.0,12.0,65.428,84.67584.675,28.202,1118.0,8.0,00,0.0,132.059132.059
2.835.5372.835.537,28.056,2.849.5652.849.565,"56,75 56,75 ","17,26 17,26 ",1.562.533 1.562.533 ,1.110.628 1.110.628 ,124.474 124.474 ,40.098,63.762,14.71,256.374,2.281.5242.281.524,313.386,137.894,486.0,4.2324.232,0.0,2.647.1812.647.181
1.307.1951.307.195,21.26,1.317.8251.317.825,"113,80 113,80 ","43,21 43,21 ",450.155 450.155 ,833.402 833.402 ,17.886 17.886 ,3.99,28.774,1680.0,156.032,1.060.1451.060.145,204.34,141.814,190.0,6.6266.626,0.0,1.318.7991.318.799
24.66524.665,42.0,24.68624.686,"24,71 24,71 ","6,27 6,27 ",24.380 24.380 ,244 244 ,15 15 ,0.0,94.0,38.0,17.69,13.79013.790,3.83,222.0,0.0,00,0.0,24.68024.680
63.71063.710,72.0,63.74663.746,"21,11 21,11 ","5,63 5,63 ",53.321 53.321 ,10.336 10.336 ,29 29 ,2.0,118.0,796.0,29.462,41.93441.934,10.856,2.548,10.0,00,0.0,63.77063.770
