año,trimestre,provincia,banda ancha fija,dial up,total_conexion,accesos por cada 100 hogares,accesos por cada 100 hab,adsl,cablemodem,fibra óptica,wireless,otros Mbps,hasta 512 kbps,+ 512 kbps - 1 mbps,+ 1 mbps - 6 mbps,+ 6 mbps - 10 mbps,+ 10 mbps - 20 mbps,+ 20 mbps - 30 mbps,+ 30 mbps,otros,total suma Mbps
2014,2,Río Negro,94.812,1.145,95.957,"45,33 ","13,95 ",64.920 ,24.944 ,876 ,3.657,1.56,3.468,5.507,84.978,78.0,1.569,2.0,8,0.0,95.610
2014,2,Río Negro,94.812,1.145,95.957,"45,33 ","13,95 ",64.920 ,24.944 ,876 ,3.657,1.56,3.468,5.507,84.978,78.0,1.569,2.0,8,0.0,95.610
2014,2,Salta,91.949,25.0,91.974,"28,91 ","7,00 ",73.841 ,17.504 ,45 ,7.0,577.0,53.0,18.818,64.440,8.293,388.0,0.0,0,0.0,91.992
2014,2,Salta,91.949,25.0,91.974,"28,91 ","7,00 ",73.841 ,17.504 ,45 ,7.0,577.0,53.0,18.818,64.440,8.293,388.0,0.0,0,0.0,91.992
2014,2,San Juan,50.891,755.0,51.646,"27,78 ","7,08 ",48.161 ,451 ,722 ,1.139,1.173,10.0,507.0,51.129,0.0,0.0,0.0,0,0.0,51.646
2014,2,San Juan,50.891,755.0,51.646,"27,78 ","7,08 ",48.161 ,451 ,722 ,1.139,1.173,10.0,507.0,51.129,0.0,0.0,0.0,0,0.0,51.646
2014,2,San Luis,12.691,364.0,13.055,"9,72 ","2,78 ",11.306 ,925 ,354 ,22.0,448.0,7.0,0.0,13.045,0.0,0.0,1.0,2,0.0,13.055
2014,2,San Luis,12.691,364.0,13.055,"9,72 ","2,78 ",11.306 ,925 ,354 ,22.0,448.0,7.0,0.0,13.045,0.0,0.0,1.0,2,0.0,13.055
2014,2,Santa Cruz,26.710,459.0,27.169,"29,38 ","8,74 ",18.956 ,448 ,381 ,4.118,3.266,153.0,1.637,25.374,2.0,0.0,0.0,0,0.0,27.166
2014,2,Santa Cruz,26.710,459.0,27.169,"29,38 ","8,74 ",18.956 ,448 ,381 ,4.118,3.266,153.0,1.637,25.374,2.0,0.0,0.0,0,0.0,27.166
